case,def_past,def_pres,def_fut,think_pas,think_pre,think_fut,import_pas_pre_fu,relation_pas_pre_fut,tbf1,tbf2,tbf3,tbf4,tbf5,tbf6,tbf7,tbf8,tbf9,aatas1,aatas2,aatas3,aatas4,aatas5,aatas6,aatas7,aatas8,aatas9,aatas10,aatas11,aatas12,aatas13,aatas14,aatas15,aatas16,aatas17,aatas18,aatas19,aatas20,aatas21,aatas22,aatas23,aatas24,aatas25,aatas26,aatas27,aatas28,aatas29,aatas30,sls1,sls2,sls3,sls4,sls5,sls6,sls7,pps1,pps2,pps3,pps4,pps5,pps6,pps7,pps8,pps9,pps10,pps11,pps12,gdms1,gdms2,gdms3,gdms4,gdms5,gdms6,gdms7,gdms8,gdms9,gdms10,gdms11,gdms12,gdms13,gdms14,gdms15,gdms16,gdms17,gdms18,gdms19,gdms20,gdms21,gdms22,gdms23,gdms24,gdms25,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,ysrs1,ysrs2,ysrs3,ysrs4,ysrs5,ysrs6,ysrs7,ysrs8,ysrs9,ysrs10,ysrs11,ysrs12,ysrs13.a,ysrs13.b,ysrs13.c,age,sex,race,income,edu,edu.father,edu.mother
331,Something that has passed.,Something is happening.,Something that will happen.,3,4,4,6,3,1,2,4,3,4,3,4,3,1,4,3,4,1,4,1,3,3,4,1,4,1,4,4,1,2,3,1,4,1,4,2,2,4,1,4,1,4,2,2,3,2,4,3,4,2,3,2,2,2,4,3,2,3,3,2,2,2,4,4,3,1,1,4,4,4,1,4,1,4,4,2,3,2,4,3,4,2,2,4,3,2,2,1,1,2,2,2,2,3,2,2,2,1,-3,3,3,3,-4,-4,2,4,3,3,3,2,,,,18,1,1,2,4,3,3
332,A period of time that serves as the basis for the present.,Constant struggles to meet expectations.,Something impossible to imagine. Just assumptions and expectations.,4,4,4,7,3,3,3,3,1,1,1,1,1,5,5,5,3,3,2,2,3,5,5,3,1,4,3,1,4,5,1,2,3,3,4,5,4,4,2,2,2,2,5,4,3,1,5,,3,1,4,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,3,2,5,5,5,5,5,2,5,4,3,2,3,5,3,5,3,1,1,1,1,5,4,4,4,0,0,0,0,0,4,4,-4,4,4,4,-4,-3,0,3,4,4,4,3,,,,18,1,3,2,3,3,3
333,Something that already happened or something you already lived with years ago.,Happening at the moment.,"Something that will happen according to your choice and you don't know what will happen, the future is already a mystery.",3,1,2,4,4,2,3,4,1,4,3,3,4,1,3,4,2,3,2,5,2,5,2,3,3,5,2,3,5,4,3,5,3,4,1,5,4,2,3,3,5,1,5,3,2,3,5,4,5,5,3,4,4,5,5,5,3,5,5,5,5,3,1,2,3,1,5,3,3,5,4,3,5,4,5,1,5,3,3,5,3,3,1,3,5,3,3,4,4,4,4,2,0,3,0,2,4,4,-2,4,4,4,-4,-3,4,4,4,3,4,4,Walk on foot.,Ride the bus instead of the bicycle.,,18,2,2,,2,3,3
334,I define my past in ups and downs.,"A pre-winter, trying to make the best of it.",Let it be planned.,3,4,4,7,4,3,2,4,1,3,3,4,3,2,5,3,3,2,3,3,4,4,3,5,2,3,4,2,4,1,4,3,4,3,2,,3,2,2,3,4,4,4,3,3,1,4,4,3,2,5,1,1,2,4,3,3,2,2,5,2,4,2,3,4,3,2,4,3,4,3,3,3,4,4,4,2,2,4,4,3,4,2,3,4,2,2,2,2,4,4,1,2,1,2,3,4,3,-4,3,4,3,-4,-4,-3,4,4,3,3,3,I collect cardboard to mak,,,18,2,3,3,2,4,3
335,"My past is all my history, which made me have a better present. Resilience.",Resilience.,A path full of dreams and everything fulfilled.,4,4,4,6,2,5,4,4,1,3,3,4,4,5,5,4,,1,4,2,5,4,5,1,4,5,5,4,2,1,5,4,5,2,5,1,4,3,1,4,1,5,2,5,4,4,5,4,4,4,4,2,2,3,3,4,4,5,3,3,3,3,1,5,5,5,1,5,2,4,5,2,1,4,4,5,2,1,3,5,2,1,1,5,2,1,4,1,4,1,2,3,1,4,4,2,2,1,-1,4,4,4,-4,-1,4,4,4,4,4,4,Social re-education.,,,18,1,1,2,2,3,2
336,"Past has good and bad moments, but for me the past is made to be forgotten.","What you are living today in general in your life, this is the present.","It is a perspective of what will happen in the future, for example, you are studying to pass a college in the future.",4,4,4,6,2,1,2,1,4,5,4,1,1,1,5,3,5,2,3,1,5,3,4,1,3,2,5,3,5,1,1,2,3,3,4,5,4,4,2,1,3,4,1,2,3,4,5,3,3,4,3,4,3,4,3,2,1,1,2,3,5,5,2,3,4,4,5,,1,2,2,3,4,4,1,2,2,5,5,3,2,1,3,4,5,3,2,3,4,2,2,3,1,1,0,0,1,3,-4,-1,1,1,0,1,4,4,-2,,-2,0,,,,18,1,1,2,4,3,2
337,"The past is for me a period that contains several others, which I define as a period of evolution (mistakes and successes)",I define the present as the period when we can act immediately.,It is for me a time that we can mold from acts in the present.,4,4,4,2,3,1,4,4,2,5,1,3,2,1,1,2,5,3,3,3,4,3,4,1,4,2,4,3,3,2,4,2,4,2,4,1,2,,4,4,4,2,3,4,4,1,5,4,4,2,4,1,1,1,1,2,4,1,1,4,2,2,4,3,4,4,1,5,5,4,2,4,4,2,4,4,1,4,2,2,4,1,4,2,4,2,4,1,3,0,1,2,2,3,1,0,2,1,-4,3,4,4,-3,-4,1,4,4,4,4,4,I'm a student of environme,Vegetation preservation.,I use a bicycle and not a car.,18,1,1,3,3,3,5
338,The foundation of everything.,A test phase.,The correction of all problems and the time to face the consequences of the past.,4,4,4,7,4,2,3,4,4,5,5,4,4,1,4,1,4,1,5,2,3,1,3,1,5,3,3,5,2,2,4,2,4,1,3,2,1,3,1,5,4,4,1,4,5,3,2,2,4,4,2,2,2,2,4,4,4,4,4,3,2,2,2,2,4,3,2,4,3,3,4,3,3,3,4,4,3,2,4,2,3,2,2,4,4,4,3,2,1,0,0,2,2,2,2,1,1,1,-4,2,4,4,-4,-4,0,4,4,4,4,0,,,,18,1,2,3,2,3,4
339,As events that have already passed and left in some way (both positive and negative) a memory.,"The today, what we are living in the moment.","What will still happen, that we always try to plan.",3,4,4,7,4,3,3,4,3,5,4,5,5,5,5,3,5,3,4,3,4,3,5,1,4,2,5,4,2,1,4,1,4,1,4,1,2,4,3,4,2,4,3,4,4,3,3,3,4,2,1,3,2,3,4,3,4,4,4,4,4,3,4,3,3,3,5,4,4,3,5,3,4,4,5,3,5,3,3,4,5,3,4,5,5,4,2,4,4,4,3,2,2,2,2,2,3,3,-4,4,4,4,-4,-4,4,4,4,3,3,3,,,,18,2,2,2,2,2,2
340,"Something that happened and left me, a lot of learning.",Something is happening and I'm having a lot of opportunity to correct my mistakes.,The future is something that we will always wait curiously to know what awaits us.,2,4,4,6,2,,,,,,,,,,5,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,3,2,1,2,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,3,3,2,2,3,2,3,1,2,1,2,1,3,3,2,1,4,3,4,2,3,3,3,3,3,4,4,3,0,0,1,0,3,4,4,-2,2,1,4,-1,-1,2,3,4,4,4,4,Change has to start at hom,Influence people to do the same,be an example,18,2,1,1,2,1,2
341,"Like a moment you can't get back; from him we rescued memories, unique experiences that can no longer be modified, as it has pas","As the name suggests, the gift is a gift; It is an opportunity to be better.","The future only belongs to God. It will only arrive in our present, it will not be noticed.",4,4,4,6,3,3,3,4,2,2,2,1,1,3,5,4,2,3,3,3,2,5,3,2,2,2,2,3,3,2,3,1,3,3,4,1,3,3,3,2,3,4,4,4,2,1,2,4,2,2,1,5,5,4,4,4,3,5,4,5,5,3,1,1,1,1,3,4,4,2,5,3,3,4,3,2,4,3,4,4,5,4,3,3,3,4,3,5,4,4,3,1,0,0,0,0,4,4,-4,3,4,4,-4,-4,-4,4,3,3,4,2,,,,18,2,2,3,2,3,3
342,Like everything that happened up to the present.,As an attempt to improve/recycle what has been done in the past.,Uncertain.,4,3,4,4,4,2,2,3,3,3,4,3,3,2,3,2,4,2,4,2,3,3,4,2,4,2,3,4,3,3,4,2,3,2,4,3,2,3,1,4,3,2,3,4,4,1,4,3,4,3,5,4,3,5,4,3,2,4,4,3,3,2,4,3,4,2,4,5,3,3,4,3,2,5,4,3,4,2,4,3,4,4,2,4,2,3,1,2,2,1,2,3,3,3,2,1,3,1,-4,2,3,4,-3,-2,2,4,0,1,2,1,,,,18,1,6,3,3,5,5
343,"Happy, innocent, peaceful.","Exhausting, family pressure, poor mental health.","It is something that cannot be defined, relative. It may or may not come to pass.",4,3,3,6,4,1,2,3,1,3,3,1,1,1,4,5,5,3,2,2,3,4,3,5,2,3,3,2,2,5,2,2,,5,4,2,5,4,2,3,2,2,4,2,2,1,5,5,3,1,2,3,3,4,4,3,4,4,4,5,5,5,3,3,2,2,4,2,5,3,4,3,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,1,2,1,1,3,1,4,-4,3,4,3,-4,-3,4,4,3,3,1,0,,,,18,2,2,2,3,2,3
344,An apprenticeship.,Something I can change.,Something uncertain.,4,4,2,6,,1,3,1,2,2,1,1,1,1,4,2,5,,2,4,1,1,4,4,4,1,2,,1,1,4,1,5,1,3,3,1,4,1,4,1,5,1,4,4,3,4,4,4,1,2,4,4,4,1,1,1,1,1,4,1,1,4,1,2,1,4,4,4,3,4,3,1,3,4,1,3,1,4,3,4,1,1,4,4,4,1,1,4,4,4,2,2,2,1,3,4,4,1,3,4,4,-4,-4,3,4,4,3,3,3,Do not pollute.,Do not deforest the forest.,Always try to recycle.,18,2,3,1,3,3,4
345,"It's all the joys, pains, loves, it's what was lived and now sleeps in memory, the past is having been loved.","The present is who I am. Who we are, waking up, living, thinking, understanding. Gift is to love.","It's the dreams, the drawings, the ideas, it's generating predictions. Future is thinking about wanting to be loved and who will",4,3,4,6,4,5,2,3,4,,4,2,4,3,5,3,5,1,3,1,5,2,5,1,5,1,4,4,2,1,5,3,4,2,5,5,1,4,1,5,2,5,1,5,5,4,2,3,5,3,5,4,4,4,5,5,5,5,5,5,4,3,4,4,5,3,4,4,3,5,3,5,5,4,5,5,5,2,4,5,3,5,2,2,4,2,3,5,2,3,3,3,4,4,3,1,1,1,-1,2,1,4,-3,-4,4,4,3,2,3,2,Separate garbage from home,"I use the bus, but I wanted to ride a bike",Conscious water use.,18,1,6,3,3,3,5
346,"Like a posture that cannot be reversed, only conserved.",Like something that just happened.,Something that will come later.,4,4,4,7,1,3,5,5,4,3,1,1,1,1,5,4,5,3,3,1,3,3,5,1,3,3,3,2,1,3,3,1,4,3,4,3,3,5,2,3,1,4,4,5,3,2,4,4,3,2,3,3,2,4,4,3,4,4,4,4,3,3,3,4,4,2,4,4,4,3,5,3,2,4,5,5,3,3,3,3,4,3,1,4,4,5,1,3,2,2,1,2,2,3,2,1,1,2,-3,3,4,4,-4,-4,3,4,4,4,2,4,,,,18,1,1,1,3,3,2
347,Moments that have already happened and ended.,Continuous moments that have not yet ended.,What I haven't experienced yet.,4,4,4,5,4,4,3,2,2,2,2,5,3,3,2,4,3,4,2,2,1,4,3,5,2,3,1,2,2,5,2,2,1,3,2,5,4,1,2,2,2,1,3,2,2,1,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,5,2,4,3,4,4,4,3,4,4,5,4,3,4,5,5,4,4,4,4,4,5,3,3,3,1,3,1,1,3,4,4,-3,3,4,4,-3,-3,-2,3,3,3,3,3,,,,18,1,6,3,3,3,4
348,Something that if not fixed will destroy your whole life.,"The now, what I do to define my distant future.",,,,,6,1,3,3,3,2,3,3,3,2,3,4,4,2,3,3,5,3,3,2,2,1,5,3,3,4,3,2,5,3,3,2,3,4,2,2,2,4,3,3,2,3,1,5,4,2,2,2,3,3,3,3,2,3,2,2,3,2,1,2,4,3,5,2,4,2,3,2,3,3,4,3,3,2,2,4,3,3,2,2,4,3,2,3,3,2,2,2,1,3,3,2,2,1,2,-3,3,4,2,-4,-3,4,3,2,1,2,0,,,,16,2,6,1,1,3,2
349,,,,4,4,4,7,4,3,2,3,2,2,4,3,2,3,4,3,3,3,2,3,4,5,3,2,2,3,4,3,5,4,3,3,3,3,3,2,2,2,1,1,3,4,3,3,3,1,5,3,3,3,4,3,2,3,4,3,5,2,3,5,5,4,3,4,3,3,3,3,5,3,5,4,2,5,3,3,3,5,3,5,4,3,5,3,4,5,5,4,4,4,4,2,2,1,0,3,2,4,-3,3,4,2,-3,-4,3,4,2,3,1,2,,,,16,2,3,2,1,4,5
350,"Even though we can always restart our paths, the past is, it is part of us, it is our history. It is necessary that we learn fro",The present is all we have to improve ourselves. It is necessary to live one day at a time and respect with God leads our way.,"The future is the result of our present actions. We reap what we sow, which is why the past is so important to us when we reflec",3,4,3,5,3,4,2,3,3,2,2,1,2,4,3,3,3,2,3,4,3,2,3,1,3,5,3,3,5,2,4,5,3,2,3,3,2,2,1,4,4,3,2,3,3,2,3,3,4,2,4,3,3,2,4,3,4,4,4,4,2,2,4,4,3,2,3,4,3,4,4,3,2,4,4,4,2,3,4,4,4,2,2,4,4,2,3,2,1,2,0,3,4,2,2,2,2,1,-4,2,4,4,-4,0,3,4,4,0,0,0,,,,16,2,6,3,2,3,5
351,Something that has passed and that becomes memory.,The now.,The junction of our past and our present.,3,4,3,7,3,1,1,4,3,4,2,3,4,3,4,1,3,3,4,4,3,3,4,1,5,4,3,4,4,3,5,5,5,1,5,1,1,4,1,4,5,4,4,4,4,2,3,2,4,3,1,2,2,2,4,3,5,5,5,5,4,2,2,2,4,4,2,5,4,4,4,2,2,4,4,4,2,2,3,5,4,2,2,4,4,2,4,2,2,2,4,3,2,1,2,4,4,4,-4,3,4,4,-4,-4,-2,2,4,4,3,0,Not throwing garbage in th,,,17,2,2,2,5,3,3
352,"It's the memories, the events that mark us in some way.","Results of our choices, and time to choose new things.","A waiting for the result, a moment in which we deposit perspective and hope.",4,3,4,4,4,2,1,3,1,3,2,3,2,2,4,3,5,3,3,1,3,4,4,2,3,1,2,3,3,4,3,2,2,4,4,4,3,4,2,2,2,2,4,4,3,3,4,5,4,4,4,4,3,4,4,4,2,5,5,4,4,5,4,2,2,4,4,2,4,2,4,2,5,4,4,3,5,4,3,3,2,5,4,3,4,4,2,3,3,2,4,1,0,1,1,4,2,4,-4,4,3,4,-3,-4,3,4,4,4,4,2,"When I go to the beach, I",,,17,2,6,2,5,2,5
353,Something that has already happened in a long or short period of time.,Something that is happening right now.,Something that will happen in a long or short period of time.,3,1,4,3,4,4,4,5,2,3,3,2,4,3,5,4,5,1,,3,5,3,4,1,4,3,5,2,1,1,2,1,5,2,3,1,3,5,1,2,1,5,3,5,3,2,5,3,3,2,2,2,2,4,4,2,3,4,4,3,2,2,1,4,4,3,1,3,3,4,5,3,3,3,5,5,1,,3,3,2,1,3,3,4,3,2,1,1,2,4,2,3,3,2,1,3,2,-4,2,2,4,-3,-4,4,4,4,2,4,1,,,,17,2,2,2,3,2,3
354,"As a learning experience, I believe that everything that happens, both good and bad things, brings learning.","Moment to do things that bring me something in the future, but also enjoy what I'm living.","Anxiety, wanting things to happen soon, that I have good stability.",4,4,4,6,3,2,3,4,1,4,1,5,2,3,5,2,5,4,5,1,4,1,5,1,,3,1,4,1,5,5,1,4,3,5,5,1,5,1,4,1,2,2,5,4,3,1,2,5,3,3,1,1,1,3,3,3,4,4,1,3,5,1,5,5,1,1,5,3,5,5,3,1,5,5,5,1,1,5,3,4,1,1,5,5,1,4,1,3,1,3,2,3,3,1,2,1,2,2,4,-1,4,0,-4,4,4,4,2,4,3,I don't throw garbage in t,,,17,2,6,2,3,2,3
355,"I define the past as things that happened, good and bad things.",The present as something good,"The future, full of expectations, of good things and that I achieve my goals.",3,4,4,6,1,4,4,5,5,4,1,1,1,5,4,2,5,1,5,2,5,2,5,2,5,2,4,2,2,4,2,5,2,5,2,2,2,5,2,5,2,5,2,5,5,5,3,3,5,4,5,4,2,5,5,4,2,2,4,5,5,4,2,2,5,2,2,5,2,4,5,2,2,4,5,4,,4,2,4,2,4,2,2,2,4,2,2,2,0,3,3,4,,,,,,2,4,4,4,2,-4,4,4,4,4,4,4,Throw rubbish in the trash,Save water,Less pollution,17,2,2,1,3,2,2
356,Good for learning something but quite forgettable.,Useful.,Inaccurate,4,4,4,7,1,4,4,3,1,2,2,1,1,5,3,2,3,3,4,2,2,2,2,1,1,4,2,2,2,1,2,4,2,2,2,2,3,3,1,1,3,1,2,4,3,3,3,4,4,4,4,3,3,3,3,3,3,1,1,4,1,1,1,5,4,5,3,3,3,4,3,5,2,3,3,1,3,3,3,4,4,3,3,3,5,3,3,3,0,0,0,0,0,0,1,1,0,0,1,-2,2,4,-1,4,4,2,-4,-3,-4,-4,,,,17,1,3,2,3,3,2
357,I define the past as moments and decisions already experienced by us human beings.,"The present is, for me, a bridge that connects our past with our future, that is, there is no such thing as a present without a ","Our future is the result of the decisions we make throughout our lives, whether good or bad.",3,3,4,7,3,4,2,2,1,3,3,2,3,4,4,3,5,2,3,2,3,4,3,2,2,1,3,4,2,4,4,2,4,3,5,4,3,5,2,4,4,3,4,5,4,2,4,3,4,2,2,1,2,3,4,3,4,4,4,3,2,2,2,3,3,1,4,3,3,2,4,4,3,5,5,2,2,2,4,4,3,2,2,4,4,3,2,1,1,1,2,2,2,3,3,3,2,2,-2,0,3,3,-4,-4,3,3,2,2,0,0,,,,17,1,6,2,3,3,3
358,Everything that has passed.,What can we live now.,The tomorrow.,1,3,4,3,2,3,3,3,3,3,3,3,3,1,5,5,3,3,3,3,5,3,2,1,3,3,5,4,3,1,4,3,5,3,3,1,3,3,2,4,3,5,3,3,4,3,4,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,2,1,2,2,3,-4,1,1,1,-4,-4,0,1,4,4,4,4,,,,19,2,1,1,5,3,3
359,What I've lived,what I'm living,What will I live,4,4,4,6,2,4,2,3,1,2,2,3,1,1,4,3,4,4,3,3,3,4,4,3,4,2,3,3,2,3,3,3,4,3,3,2,2,3,4,3,4,3,2,4,4,1,4,3,4,2,3,4,4,4,4,3,4,4,4,3,3,2,3,3,4,4,5,3,4,3,2,4,4,3,3,4,4,2,3,3,3,4,4,3,4,2,2,3,4,4,3,1,2,2,1,2,1,4,-4,3,4,4,-3,-4,3,0,3,4,3,1,Eat less meat (in order to,Decrease the production of waste at home.,Recycling (but almost never),19,2,1,4,5,5,5
360,"Something that will never come back, unalterable.",Time.,"Something that will arrive soon, something that cannot be postponed, a surprise.",4,3,4,4,3,1,1,3,1,3,1,1,1,1,3,3,5,3,3,2,3,4,3,2,3,3,3,3,2,5,3,3,2,3,5,,3,3,2,3,2,3,4,4,3,1,5,3,4,3,2,3,2,2,2,2,3,4,4,4,3,2,2,3,2,2,4,3,2,2,,3,2,4,4,2,3,3,4,4,4,4,2,4,3,,2,4,3,3,4,1,2,1,2,2,4,4,-4,4,4,4,-4,-4,4,4,4,4,4,0,,,,19,2,2,2,5,3,3
361,,,,4,4,4,7,3,2,1,3,1,2,3,2,2,2,4,5,4,3,3,2,3,4,4,3,3,2,3,3,3,4,2,1,3,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,2,3,4,3,4,5,3,4,5,5,5,5,3,1,1,5,1,5,5,1,3,4,1,1,5,5,3,3,1,5,5,3,3,3,5,5,3,1,1,2,3,4,1,0,0,1,4,4,3,-4,4,4,4,-4,-4,-3,4,4,4,4,4,,,,18,2,1,2,3,4,3
362,A study base to understand the present.,"A visionary field of what may come in the future, measured by the experiences of the now.","What is to come, but also what has come.",3,4,2,6,3,4,3,3,5,4,3,5,2,2,4,2,3,3,3,4,3,3,3,3,5,5,3,3,5,4,4,5,3,3,3,3,2,2,2,3,5,3,4,3,4,1,5,5,4,3,3,2,4,4,2,3,3,3,2,5,2,2,2,3,4,3,5,5,4,4,3,4,2,4,4,4,2,5,4,4,2,5,4,4,4,4,2,4,4,4,4,2,2,2,2,4,4,4,-4,3,4,3,-4,-4,2,2,4,4,4,4,Beach cleaning volunteer w,,,19,2,1,2,5,2,2
363,"It is the moment of your life that must be appreciated, because it was lived in the best way. It is crucial for learning.","It is something that must be lived intensely, but with moderation and responsibility because it affects your vision of the past ","It is a time to be looked forward to, but without extraordinary expectations so as not to be disappointed.",4,4,4,7,4,4,2,2,2,3,3,3,3,2,4,1,5,1,5,1,5,2,5,1,5,1,4,4,1,1,4,1,5,2,4,1,2,4,1,5,1,4,2,4,5,1,4,1,5,1,3,4,4,5,5,3,2,5,4,3,4,2,2,2,4,1,3,5,4,2,5,4,4,5,5,4,5,2,4,3,5,5,3,4,5,4,3,4,2,2,3,2,2,2,1,2,3,1,-3,4,4,4,-4,-4,4,4,4,4,4,4,,,,19,2,2,2,5,3,3
364,All the events that have already occurred and that we only have memories.,"Everything that happens ""suddenly in time"".",Everything we hope for with the vision of what has already occurred.,4,4,4,6,4,4,1,3,3,3,1,3,3,3,4,5,5,3,1,1,3,4,4,1,2,1,3,1,3,2,3,3,5,4,4,1,4,3,4,1,4,4,2,4,2,1,4,5,3,1,1,1,1,1,2,3,2,2,3,4,2,1,3,4,4,3,2,5,4,3,3,3,1,4,4,4,1,1,4,,3,1,3,4,4,,4,1,2,4,3,0,2,2,0,0,3,1,-4,1,4,4,-4,-4,-2,4,4,4,0,4,,,,19,1,6,1,5,2,4
365,Something that brings learning to the future,Something to be enjoyed.,The moment of realizations and corrections.,4,4,4,3,4,2,2,2,1,3,1,2,2,3,5,5,3,5,2,3,2,5,3,5,2,3,2,2,2,5,3,3,3,3,3,2,4,3,2,3,3,2,5,3,3,2,4,,3,3,2,5,3,3,3,3,3,4,3,2,2,2,3,4,4,2,4,4,4,2,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,1,1,1,1,1,1,1,-4,-1,1,4,-1,-4,4,4,4,4,4,4,waste reduction,garbage separation,reuse,19,2,2,2,5,4,3
366,"Events that have already passed from the notion of time, what happened",The now.,"What will come, the uncertain.",4,4,4,5,3,2,1,3,1,2,3,1,2,1,3,4,4,2,3,2,2,3,4,3,3,3,2,2,3,2,4,1,3,2,4,4,3,2,4,4,3,2,4,4,3,1,5,4,4,1,1,3,2,4,4,3,1,4,4,5,5,5,2,4,3,4,1,3,5,4,3,4,5,2,4,2,3,4,2,3,4,2,3,2,4,4,2,2,2,3,2,1,2,3,0,1,3,3,-4,4,1,3,0,-4,4,2,1,3,0,0,None,,,19,1,6,2,6,4,4
367,"I usually remember with longing and at the same time with fear, I define it as everything I've ever lived and learned.",Everything I'm doing and living right now is exactly where I am.,"Where I want to go, even though I think that the future we think so much about may never arrive.",3,4,4,6,4,4,4,4,4,4,4,4,4,3,4,3,5,2,3,3,3,4,4,3,3,2,3,3,2,3,4,3,3,3,4,4,3,4,3,3,2,3,4,4,4,1,5,5,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,3,2,1,5,3,5,3,5,3,5,5,5,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,0,0,0,2,4,4,4,-4,4,4,4,-4,-4,4,4,4,4,4,4,Making people aware.,Reducing unnecessary consumption,Not throwing garbage in the street,19,2,2,3,6,3,3
368,Alone,worried,little hope,2,4,4,6,2,1,1,3,1,1,1,2,1,1,3,5,2,3,1,3,3,5,3,,1,3,,1,,5,3,5,,5,1,5,5,1,2,2,4,3,5,2,3,1,5,5,,1,5,2,2,2,2,5,4,2,2,4,1,1,3,5,5,2,1,5,2,4,4,4,2,3,4,4,1,1,5,5,3,1,1,5,2,3,3,1,3,4,4,2,2,3,2,0,0,4,-4,1,4,0,-4,-1,4,4,4,4,4,4,,,,19,1,6,2,1,2,3
369,A mix of good and bad memories.,"Well, the present is what we live, our attitudes, but unfortunately sometimes we focus more on the past or the future and forget","Lots of plans, desires and anxiety.",2,4,4,6,3,1,2,3,1,3,3,3,3,1,4,4,4,3,2,2,2,4,5,1,3,3,4,3,3,2,4,1,5,4,3,1,2,3,1,4,4,5,5,4,4,2,5,5,4,1,1,3,4,5,5,3,4,5,5,5,5,4,1,5,4,4,1,5,5,4,4,4,2,5,1,5,1,1,5,5,2,1,4,1,5,1,4,1,4,4,4,1,3,1,1,1,4,4,-4,4,4,4,-4,-4,1,4,4,4,4,4,,,,19,2,3,2,3,3,3
370,"It was important for my growth, it makes me what I am today.","As the most difficult time of my life, which I hope to overcome.",I cannot define it.,4,4,4,5,2,4,1,2,1,2,2,3,1,2,2,4,5,4,1,2,1,4,3,4,2,2,2,3,4,4,3,2,2,3,2,4,5,3,2,2,4,2,5,4,2,1,4,5,3,1,4,3,4,2,4,4,4,5,4,5,5,5,3,2,4,2,5,2,4,4,5,5,3,4,5,5,5,2,3,5,3,4,2,3,4,4,2,2,4,4,4,2,1,1,0,3,4,4,-4,3,4,4,-4,-4,4,4,3,3,3,4,If I see someone throwing,I avoid waste,,19,2,3,1,3,4,4
371,,Passenger,May the future be amazing,3,4,4,3,3,1,2,3,1,3,1,3,3,3,4,3,4,3,3,3,5,4,3,1,3,4,5,3,3,3,4,3,5,3,3,1,2,3,2,3,4,5,4,3,4,2,4,4,4,3,3,4,3,4,4,,3,4,3,4,3,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,3,4,4,3,2,2,2,4,4,2,2,3,2,3,3,2,1,2,1,3,3,3,-3,4,3,3,-4,-4,2,2,3,1,3,1,,,,19,2,1,2,3,2,2
372,"Very good, several lived experiences and a lot of learning.",The present for me is a chance to live intensely.,The future I consider something kind of unanswered because I don't know what's coming but it's a new chance to live something ne,3,4,3,2,1,1,3,4,1,3,3,3,3,1,4,2,5,3,4,1,2,3,3,1,3,1,3,3,1,2,3,1,3,2,5,2,2,5,2,3,1,3,2,4,3,3,2,2,4,2,3,4,4,3,4,2,4,4,4,3,3,2,2,3,3,2,3,3,2,4,3,3,2,4,4,3,4,3,2,4,4,4,2,4,4,4,4,3,1,2,3,2,3,3,3,3,3,3,-4,2,1,1,-3,-1,1,1,4,2,1,1,,,,19,2,6,2,3,2,2
373,"As something remote, which we take from it only memories and some regrets of acts that were committed by us or someone else.",As something that must be lived more (which most times does not happen with the goals we want to achieve for the future).,"Something that doesn't exist yet, so we worry about how it will be and we try to live thinking about it, having anxieties and fe",2,2,4,,,,,,,,,,,,5,3,5,3,4,3,5,3,3,2,3,3,5,3,3,2,3,3,5,2,5,1,3,3,1,3,3,5,4,5,4,3,3,4,1,3,1,3,2,2,2,3,4,2,3,2,2,1,4,4,1,3,4,4,3,5,3,1,5,5,3,3,1,4,4,5,3,1,4,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,-4,4,4,4,-4,-4,4,4,4,4,4,4,I try not to use aerosols,I try not to throw garbage in the wrong place.,I try not to influence deforestation and fires.,19,2,6,2,3,2,2
374,Something good.,Something we must live.,"Something to be thought about, aiming at ways to achieve the objectives.",2,4,3,6,4,2,3,3,1,3,3,3,2,2,4,1,3,3,4,2,4,1,2,1,4,1,3,4,2,2,4,1,4,2,3,2,1,2,1,4,2,4,2,2,4,2,4,3,4,3,4,2,2,2,3,3,3,4,3,2,2,2,2,4,4,2,2,4,3,4,5,3,2,4,4,4,2,2,4,3,3,3,2,4,3,4,2,2,2,2,1,2,2,2,1,2,2,2,-2,1,4,2,-4,-4,4,4,4,4,4,4,street cleaning,Less burned,Reforestation,19,1,3,2,3,2,1
